Index,Date,Time,RH,Temp,Number
339,9/21/2016,12:12:00 PM,45,25.4,1010060497
340,9/21/2016,1:12:00 PM,41.6,26.2,1010060497
341,9/21/2016,2:12:00 PM,39.8,26.8,1010060497
342,9/21/2016,3:12:00 PM,38.1,27.2,1010060497
343,9/21/2016,4:12:00 PM,30.1,28,1010060497
344,9/21/2016,5:12:00 PM,30.6,28.2,1010060497
345,9/21/2016,6:12:00 PM,30.5,27.8,1010060497
346,9/21/2016,7:12:00 PM,31.5,27.2,1010060497
347,9/21/2016,8:12:00 PM,33.9,26.7,1010060497
348,9/21/2016,9:12:00 PM,35.8,26.2,1010060497
349,9/21/2016,10:12:00 PM,36.7,25.9,1010060497
350,9/21/2016,11:12:00 PM,37.5,25.6,1010060497
351,9/22/2016,12:12:00 AM,37.9,25.3,1010060497
352,9/22/2016,1:12:00 AM,38.2,25.1,1010060497
353,9/22/2016,2:12:00 AM,38.8,24.9,1010060497
354,9/22/2016,3:12:00 AM,39.4,24.6,1010060497
355,9/22/2016,4:12:00 AM,40.1,24.3,1010060497
356,9/22/2016,5:12:00 AM,40.6,24.1,1010060497
357,9/22/2016,6:12:00 AM,40.7,23.8,1010060497
358,9/22/2016,7:12:00 AM,41,23.8,1010060497
359,9/22/2016,8:12:00 AM,40.1,24.1,1010060497
360,9/22/2016,9:12:00 AM,36.3,25.2,1010060497
361,9/22/2016,10:12:00 AM,32.3,26.6,1010060497
362,9/22/2016,11:12:00 AM,26.2,27.9,1010060497
363,9/22/2016,12:12:00 PM,24.7,29,1010060497
364,9/22/2016,1:12:00 PM,23.1,29.9,1010060497
365,9/22/2016,2:12:00 PM,22,30.6,1010060497
366,9/22/2016,3:12:00 PM,21.2,31.2,1010060497
367,9/22/2016,4:12:00 PM,19.8,31.4,1010060497
368,9/22/2016,5:12:00 PM,19.7,31.3,1010060497
369,9/22/2016,6:12:00 PM,20.3,30.8,1010060497
370,9/22/2016,7:12:00 PM,20.5,30.2,1010060497
371,9/22/2016,8:12:00 PM,22.3,29.5,1010060497
372,9/22/2016,9:12:00 PM,24.5,29.1,1010060497
373,9/22/2016,10:12:00 PM,25.5,28.8,1010060497
374,9/22/2016,11:12:00 PM,26.2,28.5,1010060497
375,9/23/2016,12:12:00 AM,26.9,28.3,1010060497
376,9/23/2016,1:12:00 AM,27.6,27.9,1010060497
377,9/23/2016,2:12:00 AM,28.4,27.6,1010060497
378,9/23/2016,3:12:00 AM,30.2,27.4,1010060497
379,9/23/2016,4:12:00 AM,41.4,27.4,1010060497
380,9/23/2016,5:12:00 AM,44.7,27.2,1010060497
381,9/23/2016,6:12:00 AM,45,27.1,1010060497
382,9/23/2016,7:12:00 AM,46.1,26.9,1010060497
383,9/23/2016,8:12:00 AM,46.7,26.6,1010060497
384,9/23/2016,9:12:00 AM,45.4,26.4,1010060497
385,9/23/2016,10:12:00 AM,44.1,26.4,1010060497
386,9/23/2016,11:12:00 AM,44,26.7,1010060497
387,9/23/2016,12:12:00 PM,43.6,27.1,1010060497
388,9/23/2016,1:12:00 PM,43,27.6,1010060497
389,9/23/2016,2:12:00 PM,42,27.9,1010060497
390,9/23/2016,3:12:00 PM,41,28.2,1010060497
391,9/23/2016,4:12:00 PM,40.8,28.3,1010060497
392,9/23/2016,5:12:00 PM,40.8,28.2,1010060497
393,9/23/2016,6:12:00 PM,40.9,27.9,1010060497
394,9/23/2016,7:12:00 PM,41.4,27.6,1010060497
395,9/23/2016,8:12:00 PM,42.2,27.3,1010060497
396,9/23/2016,9:12:00 PM,42.6,27.1,1010060497
397,9/23/2016,10:12:00 PM,43.1,26.8,1010060497
398,9/23/2016,11:12:00 PM,43.6,26.6,1010060497
399,9/24/2016,12:12:00 AM,44.6,26.3,1010060497
400,9/24/2016,1:12:00 AM,45.9,26.1,1010060497
401,9/24/2016,2:12:00 AM,47,25.8,1010060497
402,9/24/2016,3:12:00 AM,47.3,25.6,1010060497
403,9/24/2016,4:12:00 AM,47.7,25.4,1010060497
404,9/24/2016,5:12:00 AM,48,25.3,1010060497
405,9/24/2016,6:12:00 AM,47.9,25.1,1010060497
406,9/24/2016,7:12:00 AM,47.7,25,1010060497
407,9/24/2016,8:12:00 AM,47.6,25,1010060497
408,9/24/2016,9:12:00 AM,48.6,25.1,1010060497
409,9/24/2016,10:12:00 AM,49,25.2,1010060497
410,9/24/2016,11:12:00 AM,48.7,25.6,1010060497
411,9/24/2016,12:12:00 PM,49.1,26.1,1010060497
412,9/24/2016,1:12:00 PM,48.7,26.5,1010060497
413,9/24/2016,2:12:00 PM,48.1,27.1,1010060497
414,9/24/2016,3:12:00 PM,47,27.6,1010060497
415,9/24/2016,4:12:00 PM,46.4,27.7,1010060497
416,9/24/2016,5:12:00 PM,46.3,27.7,1010060497
417,9/24/2016,6:12:00 PM,46.4,27.4,1010060497
418,9/24/2016,7:12:00 PM,46.9,27.1,1010060497
419,9/24/2016,8:12:00 PM,46.7,26.8,1010060497
420,9/24/2016,9:12:00 PM,46.4,26.5,1010060497
421,9/24/2016,10:12:00 PM,46.5,26.2,1010060497
422,9/24/2016,11:12:00 PM,46.6,26,1010060497
423,9/25/2016,12:12:00 AM,47,25.8,1010060497
424,9/25/2016,1:12:00 AM,47.2,25.6,1010060497
425,9/25/2016,2:12:00 AM,47.4,25.3,1010060497
426,9/25/2016,3:12:00 AM,47.9,25.2,1010060497
427,9/25/2016,4:12:00 AM,49,25,1010060497
428,9/25/2016,5:12:00 AM,52.7,25,1010060497
429,9/25/2016,6:12:00 AM,55.2,25,1010060497
430,9/25/2016,7:12:00 AM,57.8,24.9,1010060497
431,9/25/2016,8:12:00 AM,57.8,25,1010060497
432,9/25/2016,9:12:00 AM,58.2,25.1,1010060497
433,9/25/2016,10:12:00 AM,58.9,25.1,1010060497
434,9/25/2016,11:12:00 AM,58,25.4,1010060497
435,9/25/2016,12:12:00 PM,57.8,25.7,1010060497
436,9/25/2016,1:12:00 PM,57,25.9,1010060497
437,9/25/2016,2:12:00 PM,55.7,26.3,1010060497
438,9/25/2016,3:12:00 PM,54.8,26.6,1010060497
439,9/25/2016,4:12:00 PM,54.1,26.8,1010060497
440,9/25/2016,5:12:00 PM,54.7,26.7,1010060497
441,9/25/2016,6:12:00 PM,55.4,26.4,1010060497
442,9/25/2016,7:12:00 PM,54.9,26.2,1010060497
443,9/25/2016,8:12:00 PM,53.5,25.9,1010060497
444,9/25/2016,9:12:00 PM,53.2,25.8,1010060497
445,9/25/2016,10:12:00 PM,52.6,25.7,1010060497
446,9/25/2016,11:12:00 PM,51.1,25.4,1010060497
447,9/26/2016,12:12:00 AM,50.4,25.2,1010060497
448,9/26/2016,1:12:00 AM,49.9,25,1010060497
449,9/26/2016,2:12:00 AM,50.5,24.8,1010060497
450,9/26/2016,3:12:00 AM,51,24.7,1010060497
451,9/26/2016,4:12:00 AM,51.6,24.5,1010060497
452,9/26/2016,5:12:00 AM,52,24.3,1010060497
